date,value,vard,vardd
09/1959,58750,title,Gross domestic product
12/1959,66838,narrow cat.,Key National Accounts Aggregates
03/1960,58583,broad cat.,Australian National Accounts: National Income, Expenditure and Product
06/1960,60669,unit,$ Millions
09/1960,61889,prices,Chain volume measures
12/1960,68669,source,ABS
03/1961,60611,dataset,5206.0
06/1961,59758,seriestype,Original
09/1961,60879,,
12/1961,68666,,
03/1962,61475,,
06/1962,63159,,
09/1962,64887,,
12/1962,74052,,
03/1963,65530,,
06/1963,65506,,
09/1963,69402,,
12/1963,79320,,
03/1964,68789,,
06/1964,71305,,
09/1964,73271,,
12/1964,83740,,
03/1965,73504,,
06/1965,75581,,
09/1965,76981,,
12/1965,85955,,
03/1966,73782,,
06/1966,76672,,
09/1966,79759,,
12/1966,90952,,
03/1967,81518,,
06/1967,80914,,
09/1967,84738,,
12/1967,97091,,
03/1968,81903,,
06/1968,86385,,
09/1968,89188,,
12/1968,105160,,
03/1969,89228,,
06/1969,91206,,
09/1969,95464,,
12/1969,109271,,
03/1970,97325,,
06/1970,99602,,
09/1970,101854,,
12/1970,113176,,
03/1971,100502,,
06/1971,102211,,
09/1971,106239,,
12/1971,119020,,
03/1972,102801,,
06/1972,106026,,
09/1972,107474,,
12/1972,121414,,
03/1973,106750,,
06/1973,109793,,
09/1973,111287,,
12/1973,128941,,
03/1974,112239,,
06/1974,111245,,
09/1974,112918,,
12/1974,127781,,
03/1975,111084,,
06/1975,118188,,
09/1975,116271,,
12/1975,130161,,
03/1976,115823,,
06/1976,119876,,
09/1976,122461,,
12/1976,135802,,
03/1977,117728,,
06/1977,123485,,
09/1977,124436,,
12/1977,135654,,
03/1978,118780,,
06/1978,125086,,
09/1978,125976,,
12/1978,141576,,
03/1979,128249,,
06/1979,128532,,
09/1979,130311,,
12/1979,147755,,
03/1980,128501,,
06/1980,133675,,
09/1980,135193,,
12/1980,152000,,
03/1981,130909,,
06/1981,140171,,
09/1981,142314,,
12/1981,158949,,
03/1982,133806,,
06/1982,141789,,
09/1982,141268,,
12/1982,153438,,
03/1983,131153,,
06/1983,138187,,
09/1983,140178,,
12/1983,159705,,
03/1984,142106,,
06/1984,147898,,
09/1984,148380,,
12/1984,168093,,
03/1985,147075,,
06/1985,157305,,
09/1985,159147,,
12/1985,174332,,
03/1986,153636,,
06/1986,158801,,
09/1986,159612,,
12/1986,175969,,
03/1987,159516,,
06/1987,167318,,
09/1987,170550,,
12/1987,186628,,
03/1988,168455,,
06/1988,174801,,
09/1988,177102,,
12/1988,192978,,
03/1989,174013,,
06/1989,183432,,
09/1989,186803,,
12/1989,200291,,
03/1990,180157,,
06/1990,186209,,
09/1990,187108,,
12/1990,201226,,
03/1991,178825,,
06/1991,183380,,
09/1991,186248,,
12/1991,196415,,
03/1992,182430,,
06/1992,188764,,
09/1992,191495,,
12/1992,204624,,
03/1993,191988,,
06/1993,196194,,
09/1993,197613,,
12/1993,212889,,
03/1994,198729,,
06/1994,206275,,
09/1994,210657,,
12/1994,220850,,
03/1995,204235,,
06/1995,210997,,
09/1995,216030,,
12/1995,231040,,
03/1996,212406,,
06/1996,220106,,
09/1996,222194,,
12/1996,242443,,
03/1997,218550,,
06/1997,231283,,
09/1997,233277,,
12/1997,251297,,
03/1998,232093,,
06/1998,239656,,
09/1998,245506,,
12/1998,263844,,
03/1999,244375,,
06/1999,250587,,
09/1999,255832,,
12/1999,270607,,
03/2000,254895,,
06/2000,262576,,
09/2000,264346,,
12/2000,274421,,
03/2001,259348,,
06/2001,265976,,
09/2001,270811,,
12/2001,287701,,
03/2002,268366,,
06/2002,279809,,
09/2002,282710,,
12/2002,297455,,
03/2003,274739,,
06/2003,284826,,
09/2003,289321,,
12/2003,310299,,
03/2004,287157,,
06/2004,298556,,
09/2004,301721,,
12/2004,318802,,
03/2005,295397,,
06/2005,307229,,
09/2005,310823,,
12/2005,328874,,
03/2006,302926,,
06/2006,315194,,
09/2006,320896,,
12/2006,337903,,
03/2007,315641,,
06/2007,330889,,
09/2007,334466,,
12/2007,351899,,
03/2008,325515,,
06/2008,341194,,
09/2008,342346,,
12/2008,357597,,
03/2009,331721,,
06/2009,347425,,
09/2009,347710,,
12/2009,365389,,
03/2010,337363,,
06/2010,356940,,
09/2010,356943,,
12/2010,375337,,
03/2011,344351,,
06/2011,365270,,
09/2011,367542,,
12/2011,387506,,
03/2012,360771,,
06/2012,382200,,
09/2012,381027,,
12/2012,398204,,
03/2013,368773,,
06/2013,389557,,
09/2013,389278,,
12/2013,408420,,
03/2014,379641,,
06/2014,399556,,
09/2014,399373,,
12/2014,417004,,
03/2015,389199,,
06/2015,408396,,
09/2015,410298,,
12/2015,427801,,
03/2016,399714,,
06/2016,421790,,
09/2016,417695,,
12/2016,438536,,
03/2017,407211,,
06/2017,430357,,
09/2017,429496,,
12/2017,447964,,
03/2018,419684,,
